,Unnamed: 0,Date,Temperature,Gas_Price,Oil_Price,coffee_price
0,0,1/1/2024,27.0,21180.0,19780.0,68250.0
1,1,2/1/2024,27.0,21180.0,19780.0,68450.0
2,2,3/1/2024,26.5,21180.0,19780.0,68550.0
3,3,4/1/2024,25.5,21000.0,19360.0,67850.0
4,4,5/1/2024,25.5,21000.0,19360.0,67350.0
5,5,6/1/2024,26.0,21000.0,19360.0,67700.0
6,6,7/1/2024,26.5,21000.0,19360.0,68200.0
7,7,8/1/2024,25.5,21000.0,19360.0,68450.0
8,8,9/1/2024,25.5,21000.0,19360.0,68550.0
9,9,10/1/2024,27.0,21000.0,19360.0,69850.0
10,10,11/1/2024,26.0,21040.0,19700.0,70450.0
11,11,12/1/2024,25.5,21040.0,19700.0,70750.0
12,12,13/1/2024,26.0,21040.0,19700.0,70650.0
13,13,14/1/2024,25.5,21040.0,19700.0,70550.0
14,14,15/1/2024,26.0,21040.0,19700.0,70550.0
15,15,16/1/2024,26.5,21040.0,19700.0,70550.0
16,16,17/1/2024,25.0,21040.0,19700.0,71350.0
17,17,18/1/2024,26.0,21410.0,20190.0,72750.0
18,18,19/1/2024,25.5,21410.0,20190.0,72050.0
19,19,20/1/2024,25.0,21410.0,20190.0,71050.0
20,20,21/1/2024,25.5,21410.0,20190.0,72450.0
21,21,22/1/2024,26.0,21410.0,20190.0,72450.0
22,22,23/1/2024,26.0,21410.0,20190.0,72850.0
23,23,24/1/2024,24.0,21410.0,20190.0,74050.0
24,24,25/1/2024,25.0,22170.0,20370.0,73950.0
25,25,26/1/2024,25.5,22170.0,20370.0,74950.0
26,26,27/1/2024,26.0,22170.0,20370.0,75450.0
27,27,28/1/2024,25.0,22170.0,20370.0,76550.0
28,28,29/1/2024,26.0,22170.0,20370.0,77050.0
29,29,30/1/2024,25.0,22170.0,20370.0,77250.0
30,30,31/1/2024,25.5,22170.0,20370.0,77750.0
31,31,1/2/2024,25.5,22910.0,20990.0,79150.0
32,32,2/2/2024,25.0,22910.0,20990.0,78950.0
33,33,3/2/2024,25.5,22910.0,20990.0,78950.0
34,34,4/2/2024,26.0,22910.0,20990.0,78550.0
35,35,5/2/2024,26.5,22910.0,20990.0,78550.0
36,36,6/2/2024,27.0,22910.0,20990.0,78950.0
37,37,7/2/2024,26.5,22910.0,20990.0,77950.0
38,38,8/2/2024,26.0,22120.0,20700.0,78350.0
39,39,9/2/2024,26.0,22120.0,20700.0,78550.0
40,40,10/2/2024,25.5,22120.0,20700.0,78450.0
41,41,11/2/2024,25.0,22120.0,20700.0,79650.0
42,42,12/2/2024,25.5,22120.0,20700.0,79650.0
43,43,13/2/2024,25.0,22120.0,20700.0,79650.0
44,44,14/2/2024,25.5,22120.0,20700.0,79350.0
45,45,15/2/2024,26.5,22830.0,21360.0,78950.0
46,46,16/2/2024,26.5,22830.0,21360.0,77750.0
47,47,17/2/2024,26.0,22830.0,21360.0,78850.0
48,48,18/2/2024,26.0,22830.0,21360.0,80250.0
49,49,19/2/2024,28.0,22830.0,21360.0,81050.0
50,50,20/2/2024,28.0,22830.0,21360.0,81450.0
51,51,21/2/2024,28.0,22830.0,21360.0,81950.0
52,52,22/2/2024,28.0,23590.0,20910.0,82150.0
53,53,23/2/2024,27.0,23590.0,20910.0,83450.0
54,54,24/2/2024,27.0,23590.0,20910.0,82450.0
55,55,25/2/2024,27.5,23590.0,20910.0,81450.0
56,56,26/2/2024,26.0,23590.0,20910.0,82150.0
57,57,27/2/2024,26.5,23590.0,20910.0,82550.0
58,58,28/2/2024,27.0,23590.0,20910.0,82350.0
59,59,29/2/2024,27.0,22750.0,20770.0,83650.0
60,60,1/3/2024,27.5,22750.0,20770.0,83450.0
61,61,2/3/2024,27.5,22750.0,20770.0,84650.0
62,62,3/3/2024,27.5,22750.0,20770.0,85350.0
63,63,4/3/2024,26.5,22750.0,20770.0,85750.0
64,64,5/3/2024,26.5,22750.0,20770.0,85750.0
65,65,6/3/2024,27.5,22750.0,20770.0,86950.0
66,66,7/3/2024,28.0,22510.0,20470.0,87450.0
67,67,8/3/2024,28.0,22510.0,20470.0,90250.0
68,68,9/3/2024,27.0,22510.0,20470.0,92050.0
69,69,10/3/2024,27.5,22510.0,20470.0,90750.0
70,70,11/3/2024,27.5,22510.0,20470.0,90750.0
71,71,12/3/2024,28.0,22510.0,20470.0,91350.0
72,72,13/3/2024,27.0,22510.0,20470.0,91050.0
73,73,14/3/2024,28.0,22490.0,20540.0,91850.0
74,74,15/3/2024,27.5,22490.0,20540.0,91050.0
75,75,16/3/2024,28.0,22490.0,20540.0,91650.0
76,76,17/3/2024,28.0,22490.0,20540.0,92950.0
77,77,18/3/2024,27.5,22490.0,20540.0,92950.0
78,78,19/3/2024,27.0,22490.0,20540.0,92950.0
79,79,20/3/2024,28.0,22490.0,20540.0,94050.0
80,80,21/3/2024,28.0,23210.0,21010.0,94250.0
81,81,22/3/2024,26.5,23210.0,21010.0,93950.0
82,82,23/3/2024,27.5,23210.0,21010.0,94950.0
83,83,24/3/2024,28.5,23210.0,21010.0,94850.0
84,84,25/3/2024,29.0,23210.0,21010.0,95250.0
85,85,26/3/2024,28.0,23210.0,21010.0,95850.0
86,86,27/3/2024,29.5,23210.0,21010.0,97050.0
87,87,28/3/2024,29.5,23620.0,20690.0,97950.0
88,88,29/3/2024,29.5,23620.0,20690.0,99550.0
89,89,30/3/2024,29.5,23620.0,20690.0,98350.0
90,90,31/3/2024,29.0,23620.0,20690.0,98550.0
91,91,1/4/2024,29.5,23620.0,20690.0,98550.0
92,92,2/4/2024,29.5,23620.0,20690.0,98550.0
93,93,3/4/2024,29.5,23620.0,20690.0,98650.0
94,94,4/4/2024,29.0,23910.0,20980.0,101450.0
95,95,5/4/2024,29.5,23910.0,20980.0,102650.0
96,96,6/4/2024,29.5,23910.0,20980.0,102450.0
97,97,7/4/2024,28.5,23910.0,20980.0,102350.0
98,98,8/4/2024,29.5,23910.0,20980.0,103550.0
99,99,9/4/2024,29.5,23910.0,20980.0,104450.0
100,100,10/4/2024,29.0,23910.0,20980.0,104950.0
101,101,11/4/2024,28.0,23840.0,21610.0,105750.0
102,102,12/4/2024,29.0,23840.0,21610.0,107050.0
103,103,13/4/2024,29.5,23840.0,21610.0,109800.0
104,104,14/4/2024,29.5,23840.0,21610.0,110450.0
105,105,15/4/2024,29.5,23840.0,21610.0,111250.0
106,106,16/4/2024,29.5,23840.0,21610.0,113550.0
107,107,17/4/2024,29.5,24220.0,21440.0,116000.0
108,108,18/4/2024,30.0,24220.0,21440.0,116950.0
109,109,19/4/2024,30.0,24220.0,21440.0,121950.0
110,110,20/4/2024,30.0,24220.0,21440.0,123500.0
111,111,21/4/2024,30.0,24220.0,21440.0,123450.0
112,112,22/4/2024,30.0,24220.0,21440.0,123450.0
113,113,23/4/2024,30.5,24220.0,21440.0,128000.0
114,114,24/4/2024,30.0,24220.0,21440.0,129050.0
115,115,25/4/2024,31.0,23910.0,20710.0,129350.0
116,116,26/4/2024,30.0,23910.0,20710.0,131950.0
117,117,27/4/2024,30.5,23910.0,20710.0,134250.0
118,118,28/4/2024,31.5,23910.0,20710.0,131450.0
119,119,29/4/2024,30.5,23910.0,20710.0,133950.0
120,120,30/4/2024,30.5,23910.0,20710.0,134150.0
121,121,1/5/2024,31.5,23910.0,20710.0,133950.0
122,122,2/5/2024,31.0,23910.0,20600.0,132950.0
123,123,3/5/2024,31.5,23910.0,20600.0,130450.0
124,124,4/5/2024,30.5,23910.0,20600.0,117950.0
125,125,5/5/2024,31.5,23910.0,20600.0,102950.0
126,126,6/5/2024,32.0,23910.0,20600.0,101050.0
127,127,7/5/2024,31.0,23910.0,20600.0,99950.0
128,128,8/5/2024,29.0,23910.0,20600.0,99950.0
129,129,9/5/2024,29.5,22620.0,19840.0,94950.0
130,130,10/5/2024,31.0,22620.0,19840.0,98050.0
131,131,11/5/2024,30.5,22620.0,19840.0,98950.0
132,132,12/5/2024,31.5,22620.0,19840.0,99450.0
133,133,13/5/2024,31.0,22620.0,19840.0,100950.0
134,134,14/5/2024,30.5,22620.0,19840.0,100950.0
135,135,15/5/2024,28.5,22620.0,19840.0,100750.0
136,136,16/5/2024,29.5,22110.0,19870.0,101950.0
137,137,17/5/2024,30.5,22110.0,19870.0,101450.0
138,138,18/5/2024,30.0,22110.0,19870.0,102350.0
139,139,19/5/2024,30.0,22110.0,19870.0,103850.0
140,140,20/5/2024,28.5,22110.0,19870.0,104000.0
141,141,21/5/2024,27.5,22110.0,19870.0,104000.0
142,142,22/5/2024,30.0,22110.0,19870.0,105650.0
143,143,23/5/2024,30.5,22270.0,19830.0,109950.0
144,144,24/5/2024,31.0,22270.0,19830.0,117050.0
145,145,25/5/2024,31.5,22270.0,19830.0,113950.0
146,146,26/5/2024,31.5,22270.0,19830.0,115550.0
147,147,27/5/2024,32.0,22270.0,19830.0,115550.0
148,148,28/5/2024,32.5,22270.0,19830.0,116150.0
149,149,29/5/2024,29.5,22270.0,19830.0,116650.0
150,150,30/5/2024,29.5,21750.0,19740.0,120650.0
151,151,31/5/2024,31.0,21750.0,19740.0,122650.0
